inst_file,N,T,max_useless_gens,overlap,selected_percentage,recomb_meth,n_elites,selection_pressure,time,obj_val
heur044_n_300_m_3234.txt,50,0,100,0.2,0.5,1.0,1,1.9,41.05251717567444,4066
heur048_n_300_m_14666.txt,50,0,100,0.2,0.5,1.0,1,1.9,63.904813051223755,31051
heur052_n_300_m_26628.txt,50,0,100,0.2,0.5,1.0,1,1.9,30.37951898574829,33142
heur053_n_300_m_39861.txt,50,0,100,0.2,0.5,1.0,1,1.9,12.649082899093628,11046
heur055_n_300_m_5164.txt,50,0,100,0.2,0.5,1.0,1,1.9,27.850674152374268,4989
heur058_n_300_m_4010.txt,50,0,100,0.2,0.5,1.0,1,1.9,70.66120195388794,6015
heur060_n_300_m_12405.txt,50,0,100,0.2,0.5,1.0,1,1.9,71.80707383155823,19023
heur041_n_300_m_17492.txt,100,0,100,0.2,0.5,1.0,1,1.9,131.91151309013367,6738
heur044_n_300_m_3234.txt,100,0,100,0.2,0.5,1.0,1,1.9,104.31640911102295,3656
heur048_n_300_m_14666.txt,100,0,100,0.2,0.5,1.0,1,1.9,178.8643398284912,29937
heur052_n_300_m_26628.txt,100,0,100,0.2,0.5,1.0,1,1.9,34.174153089523315,31792
heur053_n_300_m_39861.txt,100,0,100,0.2,0.5,1.0,1,1.9,24.853389978408813,11059
heur055_n_300_m_5164.txt,100,0,100,0.2,0.5,1.0,1,1.9,115.02562808990479,4691
heur058_n_300_m_4010.txt,100,0,100,0.2,0.5,1.0,1,1.9,309.57993602752686,5583
heur060_n_300_m_12405.txt,100,0,100,0.2,0.5,1.0,1,1.9,262.44842505455017,18483
heur041_n_300_m_17492.txt,100,0,100,0.1,0.5,1.0,1,1.9,126.24131894111633,6989
heur044_n_300_m_3234.txt,100,0,100,0.1,0.5,1.0,1,1.9,84.53497791290283,3965
heur048_n_300_m_14666.txt,100,0,100,0.1,0.5,1.0,1,1.9,221.34610390663147,30761
heur052_n_300_m_26628.txt,100,0,100,0.1,0.5,1.0,1,1.9,36.53952503204346,32626
heur053_n_300_m_39861.txt,100,0,100,0.1,0.5,1.0,1,1.9,26.184133052825928,11059
heur055_n_300_m_5164.txt,100,0,100,0.1,0.5,1.0,1,1.9,133.60749411582947,4204
heur058_n_300_m_4010.txt,100,0,100,0.1,0.5,1.0,1,1.9,315.77781915664673,5624
heur060_n_300_m_12405.txt,100,0,100,0.1,0.5,1.0,1,1.9,303.1077251434326,18788
heur041_n_300_m_17492.txt,100,0,100,0.2,0.5,1.0,1,1.9,140.89797019958496,6736
heur044_n_300_m_3234.txt,100,0,100,0.2,0.5,1.0,1,1.9,154.82071781158447,3941
heur048_n_300_m_14666.txt,100,0,100,0.2,0.5,1.0,1,1.9,159.81045508384705,29722
heur052_n_300_m_26628.txt,100,0,100,0.2,0.5,1.0,1,1.9,34.2772650718689,31792
